SectorCode,Sector,Region,regioncode,kpi,year,value
J,Information and Communication,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
K,Financial and insurance activities,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
L,Real estate activities,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
M,"Professional, scientific and technical activities",Al Madinah al Munawwara,AMA,Productivity,2015,0.0
N,Administrative and support service activities,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
O,Public administration and defense; compulsory social security,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
P,Education,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
Q,Human health and social work activities,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
R,"Arts, entertainment and recreation",Al Madinah al Munawwara,AMA,Productivity,2015,0.0
S,Other service activities,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
U,Activities of extraterritorial organizations and bodies,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
V,Undefined,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
A,"Agriculture, Forestry and Fishing",Al Madinah al Munawwara,AMA,Workforce,2015,0.0
B,Mining and quarrying,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
C,Manufacturing,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Madinah al Munawwara,AMA,Workforce,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Madinah al Munawwara,AMA,Workforce,2015,0.0
F,Construction,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
H,Transportation and storage,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
I,Accommodation and food service activities,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
J,Information and Communication,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
K,Financial and insurance activities,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
L,Real estate activities,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
M,"Professional, scientific and technical activities",Al Madinah al Munawwara,AMA,Workforce,2015,0.0
N,Administrative and support service activities,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
O,Public administration and defense; compulsory social security,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
P,Education,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
Q,Human health and social work activities,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
R,"Arts, entertainment and recreation",Al Madinah al Munawwara,AMA,Workforce,2015,0.0
S,Other service activities,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
U,Activities of extraterritorial organizations and bodies,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
V,Undefined,Al Madinah al Munawwara,AMA,Workforce,2015,0.0
A,"Agriculture, forestry and fishing",Al Madinah al Munawwara,AMA,Investments,2015,28.930641433413236
